Article,Code_EAN_Article,,Epaisseur,Largeur,Longueur,Nb_piece_paquet,Choix,Essence,Qualite,Article Famille,Libelle_Court,Dimension
TMBCOFI000LBCSV,3760102974599,,"23,000","180,000","4000,0000",1,,BCO,LBC,10TERRASSE,1201L4,23/180
TMCHEFACOUNATBS,921120277,,"21,000","120,000","0,0000",1,,CHE,NAT,10TERRASSE,CHENE NAT,21/120
TMCHEFACOUNATBS,921100277,,"21,000","100,000","0,0000",1,,CHE,NAT,10TERRASSE,CHENE NAT,21/100
TMCHEFACOUNATBS,921140277,,"21,000","140,000","0,0000",1,,CHE,NAT,10TERRASSE,CHENE NAT,21/140
TMDGLFACOU000GI,9281452751305,,"28,000","145,000","3000,0000",3,COU,DGL,,10TERRASSE,DOUGLAS,28/145
TMELOFACOU000LO,121130272,,"21,000","130,000","0,0000",1,COU,ELO,,10TERRASSE,ELONDO,21/130
TMELOFICOU000LO,121130273,,"21,000","130,000","0,0000",1,COU,ELO,,10TERRASSE,ELONDO,21/130
TMFREFACOUTHBBS,921120278,,"21,000","120,000","0,0000",1,COU,FRE,THB,10TERRASSE,FRENE TH,21/120
TMFREFACOUTHBBS,921100278,,"21,000","100,000","0,0000",1,COU,FRE,THB,10TERRASSE,FRENE TH,21/100
TMFREFACOUTHBBS,921140278,,"21,000","140,000","0,0000",1,COU,FRE,THB,10TERRASSE,FRENE TH,21/140
TMFREFICOUTHBBS,921100311,,"21,000","100,000","0,0000",1,COU,FRE,THB,10TERRASSE,FRENE TH,21/100
TMIPEFACOU000LO,121130270,,"21,000","130,000","0,0000",1,COU,IPE,,10TERRASSE,IPE,21/130
TMIPEFICOU000LO,121130271,,"21,000","130,000","0,0000",1,COU,IPE,,10TERRASSE,IPE,21/130
TMIPEFICOUSTALO,121130660,,"21,000","130,000","0,0000",1,COU,IPE,STA,10TERRASSE,IPE,21/130
TMMLZFACOU000GI,1281452741305,,"28,000","145,000","3000,0000",3,COU,MLZ,,10TERRASSE,MELEZE,28/145
TMPSYFACOUTACSW,9271452763600,,"27,000","145,000","3600,0000",1,COU,PSY,TAV,10TERRASSE,PIN TR,27/145
TMPSYFACOUTACSW,9271452764800,,"27,000","145,000","4800,0000",1,COU,PSY,TAV,10TERRASSE,PIN TR,27/145
TMPSYFACOUTACSW,9271452764200,,"27,000","145,000","4200,0000",1,COU,PSY,TAV,10TERRASSE,PIN TR,27/145
TMPSYFACOUTACSW,9271452763000,,"27,000","145,000","3000,0000",1,COU,PSY,TAV,10TERRASSE,PIN TR,27/145
TMPSYFACOUTAMSW,9271456413600,,"27,000","145,000","3600,0000",1,COU,PSY,TAV,10TERRASSE,PIN TR,27/145
TMPSYFACOUTAMSW,9271456414800,,"27,000","145,000","4800,0000",1,COU,PSY,TAV,10TERRASSE,PIN TR,27/145
TMPSYFACOUTAMSW,9271456414200,,"27,000","145,000","4200,0000",1,COU,PSY,TAV,10TERRASSE,PIN TR,27/145
TMPSYFACOUTAMSW,9271456413000,,"27,000","145,000","3000,0000",1,COU,PSY,TAV,10TERRASSE,PIN TR,27/145
TMRES00CAV000AB,6302005000567,,"30,000","200,000","5000,0000",1,CAV,RES,,10TERRASSE,TERR VIEL,30/200
TMTECFACOU000EB,919120610,,"19,000","120,000","0,0000",1,,TEC,,10TERRASSE,TECK A VIS,19/120
TMTECFACOU000EB,919140610,,"19,000","140,000","0,0000",1,,TEC,,10TERRASSE,TECK A VIS,19/140
